table_id,sentence_id,sub_sentence_id,text,coordinates,input_text,aggregation,output_text
1003,5774,1,women holding a postsecondary diploma those born in africa [ANSWER] proportion,"[[0, 1], [1, 1], [4, 0], [3, 0], [2, 1]]",women non-university or university postsecondary diploma africa caribbean and latin america percent,pair-argmax,the proportion holding a postsecondary diploma for women born in the caribbean or latin america in 2016 was slightly higher than those born in africa
1005,5783,1,black immigrant women the employment rate in africa [ANSWER],"[[0, 1], [1, 1], [4, 0], [3, 0]]",women employment rate africa caribbean and latin america,pair-argmax,"among black immigrant women, the employment rate was higher for women born in the caribbean or in latin america than for women born in africa"
1005,5785,1,women employment rates [ANSWER],"[[0, 1], [1, 1], [26, 0], [28, 0], [18, 0], [20, 0]]",women employment rate democratic republic of the congo nigeria somalia sudan,topk-argmin,"among women, immigrants from somalia, sudan, the democratic republic of the congo and nigeria had the lowest employment rates"
1006,5791,1,unemployment [ANSWER] africa in caribbean and latin america,"[[1, 2], [0, 1], [5, 0], [4, 0]]",unemployment rate women africa caribbean and latin america,pair-argmax,unemployment was higher d for women whose region of ancestry was africa than those in caribbean and latin america
1007,5792,1,black female workers [ANSWER],"[[0, 1], [17, 0]]",black female workers health care and social assistance,argmax,black female workers were mostly concentrated in the health care and social assistance sector
1007,5792,2,"black female workers the rest of the employed female population health care and social assistance sector (17, 4) (17, 8)","[[0, 1], [0, 5], [17, 0], [17, 4], [17, 8]]",black female workers other female workers health care and social assistance 32.8 21.1,none,black female workers in the health care and social assistance sector are 12 percentage points higher than the rest of the employed female population
1007,5793,1,"other immigrant women black immigrant women health care and social assistance sector (17, 1) (17, 5)","[[1, 5], [1, 1], [17, 0], [17, 1], [17, 5]]",immigrant immigrant health care and social assistance 36.6 19.0,diff,"among immigrant women, black immigrant women worked in the health care and social assistance sector was 18% higher than other immigrant women"
100_totto11752-0,0,1,"time (2, 6)","[[1, 6], [2, 6]]",time 1:12.8697,none,"the first practice was topped by david reynolds, who set a time of 1:12.8697"
100_totto11759-1,0,1,"league goals notts county 2009 (18, 4)","[[1, 4], [18, 0], [18, 1], [18, 4]]",goals notts county 2009-10 30.0,none,"lee hughes joined for notts county in 2009, and scored 30 league goals"
100_totto11802-3,0,1,"rushing yards 2004 (6, 5)","[[1, 5], [6, 1], [6, 5]]",yds 2004.0 1696.0,none,"shaun alexander finished second in the nfl in rushing yards (with 1,696) in 2004"
100_totto11809-4,0,1,2001 [ANSWER],"[[10, 1], [8, 0]]",2001.0 flora,none,"in the 2001 season, piiroja appeared for flora in meistriliiga"
1010,5811,1,"in 2015 low-income status black children other children (9, 4) (17, 4)","[[9, 0], [8, 0], [2, 0], [10, 0], [9, 4], [17, 4]]",2015.0 low income black children other children 27.2 14.4,none,"in 2015, low-income status (according to the market basket measure [mbm]) affected 27% of black children and 14% of other children"
1010,5813,1,"second-generation families black children low-income status(mbm) in 2015 (7, 2)","[[0, 2], [2, 0], [8, 0], [9, 0], [7, 2]]",second-generation families black children low income 2015.0 24.9,none,approximately one-quarter of black children from second-generation families had low-income status (mbm) in 2015
1010,5815,1,"immigrant families the before-tax low-income rate black children in 2000 in 2015 percentage points (4, 1) (7, 1)","[[0, 1], [3, 0], [2, 0], [4, 0], [7, 0], [1, 1], [4, 1], [7, 1]]",immigrant families low income before taxes black children 2000.0 2015.0 percent 46.1 30.0,diff,"for example, the before-tax low-income rate for black children born to immigrant families, which can be traced over 15 years between 2000 and 2015, fell by nearly 16 percentage points during that period-from 46% in 2000 to 30% in 2015"
1010,5817,1,"in 2015 low-income rate black children other children (9, 4) (17, 4)","[[9, 0], [8, 0], [2, 0], [10, 0], [9, 4], [17, 4]]",2015.0 low income black children other children 27.2 14.4,div,"in 2015, the low-income rate was nearly twice as high among black children compared with other children"
1011,5819,1,low-income rates(mbm) immigrant families [ANSWER],"[[0, 1], [1, 0], [16, 0], [11, 0], [12, 0], [13, 0], [17, 0], [18, 0], [19, 0], [20, 0]]",low income rate immigrant families ethiopia saint vincent and the grenadines grenada saint lucia somalia eritrea sudan south sudan,greater_than,"in 2015, black children aged 0 to 14 in immigrant families from ethiopia, somalia, eritrea, sudan,south sudan, saint vincent, the grenadines, saint lucia, and grenada had the low-income rates (mbm) above 30%"
1011,5820,1,"low-income rates(mbm) children from sudanese immigrant families (19, 1)","[[0, 1], [19, 0], [1, 0], [19, 1]]",low income rate sudan immigrant families 53.1,none,low-income status (mbm) affected more than half of children from sudanese immigrant families
1014,5829,1,"police officers in 2018 (59, 1)","[[0, 1], [59, 0], [59, 1]]",police officers 2018.0 68562.0,none,"as of may 15, 2018, there were 68,562 police officers in canada"
1014,5829,2,"police officers 2018 2017 (59, 1) (58, 1)","[[0, 1], [59, 0], [58, 0], [59, 1], [58, 1]]",police officers 2018.0 2017r 68562.0 69025.0,diff opposite,there was a decrease of 463 from 2017
1014,5830,1,"rate of police strength officers per 100,000 population in 2018 (59, 2)","[[2, 2], [1, 2], [59, 0], [59, 2]]","rate officers per 100,000 population 2018.0 185.0",none,"the rate of police strength is 185 officers per 100,000 population in 2018"
1014,5830,2,"rate of police strength 2017 2018 (59, 3)","[[2, 2], [58, 0], [59, 0], [59, 3]]",rate 2017r 2018.0 -2.1,opposite,the rate of police strength has declined 2% from 2017 to 2018
1014,5831,1,"full-time individuals in addition to sworn officers may 15,2018 (59, 4)","[[0, 4], [0, 4], [59, 0], [59, 4]]",civilian personnel civilian personnel 2018.0 31050.0,none,"in addition to sworn officers, police services employed the equivalent of 31,050 full-time individuals on may 15, 2018"
1014,5833,1,"the number full-time equivalent personnel in these roles 2017 2018 (58, 4) (59, 4)","[[2, 4], [0, 4], [58, 0], [59, 0], [58, 4], [59, 4]]",number civilian personnel 2017r 2018.0 29052.0 31050.0,diff,"the number of full-time equivalent personnel in these roles grew by 1,998 over the previous year"
1014,5833,2,"the number of full-time equivalent personnel in these roles 2017 =2018 (58, 4) (59, 4)","[[0, 4], [58, 0], [59, 0], [58, 4], [59, 4]]",civilian personnel 2017r 2018.0 29052.0 31050.0,diff div,the number of full-time equivalent personnel in these roles grew by 7% over the previous year
1015,5835,1,"rcmp corporate duties rate of police strength the provincial and territorial (16, 7)","[[0, 4], [2, 7], [16, 0], [16, 7]]",royal canadian mounted police rate provincial and territorial total 182.0,none,"excluding officers involved in rcmp corporate duties (i.e., assigned to rcmp's operation and corporate headquarters, training academy depot division and forensic labs), the provincial and territorial rate of police strength was 182 police officers per 100,000 population in 2018"
1015,5838,1,"police officers employed by stand-alone municipal police services (16, 2)","[[0, 6], [0, 2], [16, 2]]",total police officers municipal police services 38459.0,none,"consistent with previous years, over half of police officers (56% or 38,459) were employed by stand-alone municipal police services which included 905 officers serving with first nations self-administered police services"
1015,5839,1,"police officers employed by rcmp in contract policing canada (19, 6) (19, 4)","[[0, 6], [0, 4], [1, 4], [19, 0], [19, 6], [19, 4]]",total police officers royal canadian mounted police contract policing canada 68562.0 13097.0,div,"in addition, 19% of all police officers in canada were employed by rcmp in contract policing"
101_totto11818-0,0,1,"rushing yards 2008 (2, 5)","[[1, 5], [2, 0], [2, 5]]",yards 2008.0 499.0,none,darren mcfadden ended the 2008 season with 499 yards on 113 attempts with four touchdowns
101_totto11849-1,0,1,"receiving yards 2011 (3, 5)","[[1, 5], [3, 0], [3, 5]]",yds 2011.0 933.0,none,jared abbrederis led wis with 933 receiving yards in 2011
101_totto11851-2,0,1,"won-lost record(w) won-lost record(l) cincinnati reds (2, 3) (2, 4)","[[1, 3], [1, 4], [2, 0], [2, 3], [2, 4]]",w l cincinnati reds 214.0 282.0,none,"dressen managed the cincinnati reds with a won-lost record of 214-282, .431"
101_totto11864-3,0,1,"on (simcoe north) (13, 1)","[[1, 1], [13, 0], [13, 1]]","date simcoe north february 16, 2018",none,"on february 16, 2018, patrick brown of pc (simcoe north) is ejected from the pc caucus"
101_totto11866-4,0,1,"matches malaga (14, 9)","[[1, 9], [7, 0], [14, 9]]",apps malaga 199.0,none,ignacio camacho played 199 matches for malaga before joining wolfsburg
1028,5895,1,"correctional services provincial/territorial federal (15, 7) (14, 7)","[[0, 7], [14, 0], [15, 0], [15, 7], [14, 7]]",total correctional services provinces and territories - total federal 22895.0 116442.0,sum,"in 2013/2014, on any given day, there were on average 139,337 adult offenders being supervised in either provincial/territorial or federal correctional services"
1028,5896,1,"custody a community program in the 10 reporting provinces and territories for which both custody and community data were available (14, 7)","[[0, 1], [0, 4], [2, 0], [3, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 7]]",custody community supervision newfoundland and labrador prince edward island quebec ontario manitoba saskatchewan british columbia yukon northwest territories nunavut 116442.0,none,"in the 10 reporting provinces and territories for which both custody and community data were available, there were a total of 116,442 adult offenders in either custody or a community program on a given day"
1028,5897,1,"total correctional services rate (14, 8)","[[0, 7], [1, 8], [14, 8]]",total correctional services rate 492.0,none,"this represents a rate of 492 offenders per 100,000 adult population"
1028,5897,2,"from the previous year compared to five years earlier (14, 9) (14, 10)","[[0, 9], [0, 10], [14, 9], [14, 10]]",percent change in total rate from 2012/2013 to 2013/2014 percent change in total rate from 2009/2010 to 2013/2014 -4.0 -12.0,opposite,there is a decrease of 4% from the previous year and a decline of 12% compared to five years earlier
1028,5898,1,"correctional system federal (15, 7)","[[0, 7], [15, 0], [15, 7]]",total correctional services federal 22895.0,none,"in addition, on a typical day, there were 22,895 adult offenders in the federal correctional system"
1028,5899,1,"incarceration rate federal (15, 8)","[[0, 7], [1, 8], [15, 0], [15, 8]]",total correctional services rate federal 81.0,none,"this represented a rate of 81 per 100,000 adult population"
1028,5899,2,"incarceration rate from pervious year federal (15, 9)","[[0, 7], [1, 8], [0, 9], [15, 0], [15, 9]]",total correctional services rate percent change in total rate from 2012/2013 to 2013/2014 federal -3.0,opposite,a figure was down 3% from the previous year
1028,5900,1,"incarceration rate compared to 2009/2010 federal (15, 10)","[[0, 7], [1, 8], [0, 10], [15, 0], [15, 10]]",total correctional services rate percent change in total rate from 2009/2010 to 2013/2014 federal 4.0,none,"however, compared to 2009/2010, the federal rate was up"
1028,5901,1,"adults under correctional supervision in custody in the provinces and territories (14, 1) (14, 7)","[[0, 7], [0, 1], [14, 0], [14, 1], [14, 7]]",total correctional services custody provinces and territories - total 21704.0 116442.0,div,18% adults under correctional supervision in the provinces and territories in 2013/2014 were in custody
1028,5901,2,"adults under correctional supervision in the community in the provinces and territories (14, 4) (14, 7)","[[0, 7], [0, 4], [14, 0], [14, 4], [14, 7]]",total correctional services community supervision provinces and territories - total 95680.0 116442.0,div,82% of adults under correctional supervision in the provinces and territories in 2013/2014 were in the community
1028,5902,1,"adults in custody on an average day (14, 1) (15, 1)","[[0, 1], [14, 1], [15, 1]]",custody 21704.0 15141.0,sum,"in 2013/2014, there were 36,845 adults in custody on an average day"
1028,5902,2,"custody adults in provincial/territorial (14, 1)","[[0, 1], [14, 0], [14, 1]]",custody provinces and territories - total 21704.0,none,"in 2013/2014, there were 21,704 adults in provincial/territorial custody"
1028,5902,3,"custody federal (15, 1)","[[0, 1], [15, 0], [15, 1]]",custody federal 15141.0,none,"in 2013/2014, there were 15,141 adult offenders in federal custody"
1028,5903,1,"incarceration rate for custody provincial/territorial (14, 2)","[[1, 2], [0, 1], [14, 0], [14, 2]]",rate custody provinces and territories - total 87.0,none,"this translates into a provincial/territorial incarceration rate of 87 offenders per 100,000 adult population"
1028,5903,2,"from previous year incarceration rate for custody provincial/territorial (14, 3)","[[0, 3], [1, 2], [0, 1], [14, 0], [14, 3]]",percent change incarceration rate from 2012/2013 to 2013/2014 rate custody provinces and territories - total -3.0,opposite,there is a decrease of 3% from the previous year
1028,5904,1,"from previous year incarceration rate for custody federal (15, 3)","[[0, 3], [1, 2], [0, 1], [15, 0], [15, 3]]",percent change incarceration rate from 2012/2013 to 2013/2014 rate custody federal 3.0,none,"the federal incarceration rate is increasing by 3% from the previous year to 54 offenders per 100,000 adult population"
1028,5905,1,"incarceration rate custody only 12 reporting provinces and territories (3, 3) (2, 3) (8, 3) (7, 3) (13, 3) (11, 3) (10, 3) (4, 3) (9, 3) (6, 3) (12, 3) (5, 3)","[[1, 2], [0, 1], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [3, 3], [2, 3], [8, 3], [7, 3], [13, 3], [11, 3], [10, 3], [4, 3], [9, 3], [6, 3], [12, 3], [5, 3]]",rate custody newfoundland and labrador prince edward island nova scotia new brunswick quebec ontario manitoba saskatchewan british columbia yukon northwest territories nunavut 5.0 3.0 -4.0 -8.0 6.0 -21.0 -4.0 7.0 1.0 2.0 5.0 -1.0,counta less_than,the rate declined in 5 of the 12 reporting provinces and territories
1028,5906,1,[ANSWER],"[[8, 0]]",manitoba,argmax,"in the provinces, the highest rate of incarceration in custody was reported by manitoba at 242 per 100,000 adult population"
1028,5906,2,in custody incarceration rate [ANSWER],"[[0, 1], [1, 2], [10, 0]]",custody rate british columbia,argmin,"in the provinces, british columbia recorded the lowest incarceration rate"
1028,5907,1,"adult offenders being supervised through community programs in the 10 provinces and territories for which community data were reported (14, 4)","[[0, 4], [2, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 4]]",community supervision newfoundland and labrador quebec ontario manitoba saskatchewan british columbia yukon northwest territories nunavut 95680.0,none,"on any given day in 2013/2014, in the 10 provinces and territories for which community data were reported, there was an average of 95,680 adult offenders being supervised through community programs such as probation and conditional sentences"
1028,5908,1,"on day parole, full parole, or statutory release correctional service canada (15, 4)","[[0, 4], [15, 0], [15, 4]]",community supervision federal 7754.0,none,"as well, correctional service canada supervised an average of 7,754 offenders per day on day parole, full parole, or statutory release"
1028,5909,1,"the rate of adult offenders being supervised i in the community stood in provincial/territorial corrections (14, 5)","[[1, 5], [0, 4], [14, 0], [14, 5]]",rate community supervision provinces and territories - total 404.0,none,"in provincial/territorial corrections, the rate of adult offenders being supervisedin the community stood at 404 adults per 100,000 population in 2013/2014"
1028,5910,1,"the rate of adult offenders being supervised i in the community stood from the previous year in provincial/territorial corrections (14, 6)","[[1, 5], [0, 4], [0, 6], [14, 0], [14, 6]]",rate community supervision percent change in community supervision rate from 2012/2013 to 2013/2014 provinces and territories - total -5.0,opposite,this represented a decrease of 5% from the previous year
1028,5910,2,"in community supervision rate federal (15, 6)","[[0, 4], [1, 5], [15, 0], [15, 6]]",community supervision rate federal -13.0,opposite,"the rate of federal offenders in community supervision declined 13% to a rate of 27 adults per 100,000 population"
102_totto11919-1,0,1,the one you love [ANSWER],"[[3, 1], [2, 0]]",the one you love 1982.0,none,"in 1982, glenn frey released ""the one you love"" from no fun aloud"
102_totto12088-4,0,1,"billboard 200 siren song of the counter culture (4, 2)","[[1, 2], [4, 0], [4, 2]]",us siren song of the counter culture 136.0,none,"siren song of the counter culture became rise against's first album to reach the billboard 200, where it peaked at number 136"
103,426,1,"alberta's agricultural region 7 french-language workers in a province other than alberta (5, 9)","[[0, 9], [1, 9], [5, 0], [5, 9]]",agricultural region 7 alberta french-language workers born in a different province 22.1,none,"in alberta's agricultural region 7, just over one in five french-language workers were born in canada, but in a province other than alberta"
103,428,1,"french-language agricultural workers other agricultural workers catholic (9, 1)","[[1, 1], [0, 1], [1, 2], [9, 0], [9, 1]]",french-language workers agricultural region 7 manitoba other workers catholic 88.9,none,"in 2011, more than 8 in 10 french-language agricultural workers were catholic, significantly higher than for other agricultural workers in the region"
103,431,1,"french-language workers in manitoba's region 9 no religious affiliation (16, 5)","[[1, 5], [0, 5], [16, 0], [16, 5]]",french-language workers agricultural region 9 manitoba no religious affiliation 7.0,none,"few, if any, french-language workers declared having no religious affiliation: only 7% of french-language workers in manitoba's region 9"
103,431,2,"other agricultural workers in manitoba's region 9 no religious affiliation (16, 6)","[[1, 6], [0, 5], [16, 0], [16, 6]]",other workers agricultural region 9 manitoba no religious affiliation 17.9,none,17.9% of the other agricultural workers declared having no religious affiliation in manitoba's region 9
1030,5913,1,"adult correctional services in the 12 reporting provinces and territories admissions to federal provincial/territorial (17, 11)","[[0, 11], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [16, 0], [15, 0], [17, 11]]",total correctional supervision newfoundland and labrador prince edward island nova scotia new brunswick quebec ontario manitoba saskatchewan british columbia yukon northwest territories nunavut federal provincial and territorial - total 341807.0,none,"in 2013/2014, admissions to federal and provincial/territorial adult correctional services in the 12 reporting provinces and territories totalled about 341,800"
1030,5914,1,"correctional supervision from the previous year total admissions (17, 12)","[[0, 11], [1, 12], [17, 0], [17, 12]]",total correctional supervision change from 2012/2013 total - all jurisdictions -3.0,opposite,this represented a decrease of 3% from the previous year and 6% from five years earlier
1030,5915,1,"corrections all admissions provincial/territorial (17, 11) (15, 11)","[[0, 11], [17, 0], [15, 0], [17, 11], [15, 11]]",total correctional supervision total - all jurisdictions provincial and territorial - total 341807.0 325949.0,div,almost 95% of all admissions were to provincial/territorial corrections
1030,5917,1,"overall decreases from 2012/2013 total correctional supervision in the 12 reporting provinces and territories (6, 12) (12, 12) (5, 12) (10, 12) (9, 12) (7, 12) (4, 12) (11, 12) (3, 12) (14, 12) (13, 12) (8, 12)","[[1, 12], [0, 11], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [6, 12], [12, 12], [5, 12], [10, 12], [9, 12], [7, 12], [4, 12], [11, 12], [3, 12], [14, 12], [13, 12], [8, 12]]",change from 2012/2013 total correctional supervision newfoundland and labrador prince edward island nova scotia new brunswick quebec ontario manitoba saskatchewan british columbia yukon northwest territories nunavut -8.0 -4.0 -4.0 2.0 0.0 3.0 -1.0 -1.0 -2.0 9.0 -7.0 -8.0,min,the largest overall decrease was -8%
1030,5917,2,overall decreases from 2012/2013 total correctional supervision in the 12 reporting provinces and territories [ANSWER],"[[1, 12], [0, 11], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [6, 0], [8, 0]]",change from 2012/2013 total correctional supervision newfoundland and labrador prince edward island nova scotia new brunswick quebec ontario manitoba saskatchewan british columbia yukon northwest territories nunavut new brunswick ontario,argmin,the largest overall decreases were recorded by ontario and new brunswick
1030,5918,1,"from 2012/2013 to 2013/2014 in admissions to correctional supervision among 12 reporting provinces and territories (14, 12)","[[1, 12], [0, 11], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [14, 12]]",change from 2012/2013 total correctional supervision newfoundland and labrador prince edward island nova scotia new brunswick quebec ontario manitoba saskatchewan british columbia yukon northwest territories nunavut 9.0,max,nunavut recorded the largest increase
1030,5918,2,from 2012/2013 to 2013/2014 in admissions to correctional supervision among 12 reporting provinces and territories [ANSWER],"[[1, 12], [0, 11], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [14, 0]]",change from 2012/2013 total correctional supervision newfoundland and labrador prince edward island nova scotia new brunswick quebec ontario manitoba saskatchewan british columbia yukon northwest territories nunavut nunavut,argmax,nunavut recorded the largest increase in admissions to total correctional supervision from 2012/2013 to 2013/2014
1031,5920,1,overall admissions women community supervision [ANSWER],"[[0, 5], [1, 5], [0, 3], [0, 1]]",total correctional supervision female community custody,pair-argmin,"while accounting for 15% of overall admissions, women made up for a smaller share of admissions to custody (13%) than to community supervision"
1031,5922,1,"aboriginal adults total correctional supervision (15, 6)","[[1, 6], [0, 5], [15, 6]]",aboriginal total correctional supervision 24.0,none,"aboriginal adults are overrepresented in admissions to provincial/territorial correctional services, as they accounted for nearly one-quarter (24%) of admissions in 2013/2014 while representing 3% of the canadian adult population"
1031,5924,1,"aboriginal adults total custodial admissions in the provinces and territories (15, 2)","[[1, 2], [0, 1], [15, 0], [15, 2]]",aboriginal custody provincial and territorial total 26.0,none,aboriginal people made up 26% of total custodial admissions in the provinces and territories in 2013/2014
1031,5925,1,"aboriginal people total community admissions in the provinces and territories (15, 4)","[[1, 4], [0, 3], [15, 0], [15, 4]]",aboriginal community provincial and territorial total 23.0,none,"this was higher than for admissions to community supervision, where aboriginal people accounted for 23% of total community admissions"
1032,5927,1,"correctional services total operating expenditures (17, 5)","[[0, 5], [17, 0], [17, 5]]",total total - all jurisdictions 4581961.0,div,"in 2013/2014, operating expenditures for correctional services in canada totalled $4.6 billion, an increase of 5% from the previous year after adjusting for inflation"
1032,5927,2,"correctional services from the previous year after adjusting for inflation total operating expenditures (17, 6)","[[0, 5], [0, 6], [17, 0], [17, 6]]",total change from 2012/2013 total - all jurisdictions 5.3,div,"in 2013/2014, operating expenditures for correctional services in canada totalled $4.6 billion, an increase of 5% from the previous year after adjusting for inflation"
1032,5928,1,"correctional services for each person in the canadian population total operating expenditures (17, 8)","[[0, 5], [0, 8], [17, 0], [17, 8]]",total per capita cost in 2013/2014 total - all jurisdictions 130.32,none,"total operating expenditures for correctional services, which include money spent on wages and salaries, professional services, training, and travel, was equivalent to $130 for each person in the canadian population"
1032,5930,1,the total costs the provincial and territorial system [ANSWER],"[[0, 5], [15, 0], [16, 0]]",total provincial and territorial total federal,pair-argmax,the costs for federal adult correctional services are typically higher than the provincial and territorial system
1032,5931,1,"on average federal offenders (16, 7)","[[0, 7], [16, 0], [16, 7]]",average daily inmate cost in 2013/2014 federal 298.07,none,"on average, in 2013/2014, institutional expenditures amounted to about $298 per day for federal offenders, compared to about $196 per day per provincial and territorial offenders"
1032,5931,2,"on average provincial and territorial offenders (15, 7)","[[0, 7], [15, 0], [15, 7]]",average daily inmate cost in 2013/2014 provincial and territorial total 196.1,none,"on average, in 2013/2014, institutional expenditures amounted to about $196 per day per provincial and territorial offenders"
1033,5932,1,"the overall rate of childhood physical abuse ages 15 to 74 (4, 1)","[[3, 0], [2, 1], [4, 1]]",proportion experiencing any childhood physical abuse by other forms of childhood violence percent 17.8,none,"for example, the overall rate of childhood physical abuse across ages 15 to 74 is about 18%"
1033,5933,1,"the rate of physical abuse across ages 15 to 74 experienced sexual abuse in childhood (7, 1)","[[0, 1], [7, 0], [7, 1]]","total, ages 15 to 74 any childhood sexual abuse 46.4",none,"however, if the respondent had also experienced sexual abuse in childhood, the rate of physical abuse was 46%-a finding that is present across all birth cohorts"
1033,5934,1,"for all individuals aged 15 to 74 the rate of experiencing physical abuse in childhood witnessed parental violence at least six times (11, 1)","[[0, 1], [3, 0], [11, 0], [11, 1]]","total, ages 15 to 74 proportion experiencing any childhood physical abuse by other forms of childhood violence 6 or more times 69.5",none,"for example, for all individuals aged 15 to 74, the rate of experiencing physical abuse in childhood is 70% if they also witnessed parental violence at least six times"
1033,5935,1,"witnessed parental violence between one and five times victims of childhood physical abuse (10, 1)","[[10, 0], [3, 0], [10, 1]]",1 to 5 times proportion experiencing any childhood physical abuse by other forms of childhood violence 44.8,none,"among those who said they witnessed parental violence between one and five times, 45% said they were victims of childhood physical abuse"
1033,5936,1,"victims of childhood physical abuse witnessed no parental violence (9, 1)","[[0, 1], [9, 0], [9, 1]]","total, ages 15 to 74 never 13.3",none,"and for those who witnessed no parental violence, 13% also said they were victims of childhood physical abuse"
1033,5938,1,"aged 15 to 74 experienced any type of violence in childhood physical abuse only (13, 1)","[[0, 1], [4, 0], [13, 0], [13, 1]]","total, ages 15 to 74 any childhood physical abuse childhood physical abuse only 52.9",none,"among those aged 15 to 74 who said they had experienced any type of violence in childhood, 53% said it was physical abuse only"
1033,5938,2,"aged 15 to 74 experienced any type of violence in childhood sexual abuse only (14, 1)","[[0, 1], [3, 0], [16, 0], [14, 1]]","total, ages 15 to 74 proportion experiencing any childhood physical abuse by other forms of childhood violence a combination of any two forms of violence 18.8",none,"among those aged 15 to 74 who said they had experienced any type of violence in childhood, 19% said it was sexual abuse only"
1033,5938,3,"aged 15 to 74 experienced any type of violence in childhood had witnessed frequent parental violence only (15, 1)","[[0, 1], [3, 0], [15, 0], [15, 1]]","total, ages 15 to 74 proportion experiencing any childhood physical abuse by other forms of childhood violence witnessed only parental violence 6 or more times 4.2",none,"among those aged 15 to 74 who said they had experienced any type of violence in childhood, 4% said that they had witnessed frequent parental violence only"
1033,5939,1,"aged 15 to 74 experienced any type of violence in childhood had experienced any two of the three maltreatment factors (16, 1)","[[0, 1], [3, 0], [16, 0], [16, 1]]","total, ages 15 to 74 proportion experiencing any childhood physical abuse by other forms of childhood violence a combination of any two forms of violence 19.4",none,a further 19% said that they had experienced any two of the three maltreatment factors
1033,5939,2,"aged 15 to 74 experienced any type of violence in childhood had experienced all three forms of violence (17, 1)","[[0, 1], [3, 0], [17, 0], [17, 1]]","total, ages 15 to 74 proportion experiencing any childhood physical abuse by other forms of childhood violence all three forms of violence 4.7",none,about 5% said they had experienced all three
103_totto12149-0,0,1,1995-96 [ANSWER],"[[18, 1], [18, 0]]",1995-96 chelsea,none,hughes played for chelsea in the 1995-96 premier league
